customer_id,customer_name,segment,signup_date,region
C1000,Customer 1,Individual,2024-01-31,West
C1001,Customer 2,SMB,2024-08-24,North
C1002,Customer 3,Individual,2024-08-11,South
C1003,Customer 4,Individual,2024-02-28,East
C1004,Customer 5,Enterprise,2025-02-08,South
C1005,Customer 6,Individual,2024-05-23,South
C1006,Customer 7,Individual,2023-03-13,North
C1007,Customer 8,Individual,2024-11-19,South
C1008,Customer 9,Enterprise,2024-06-01,North
C1009,Customer 10,SMB,2024-07-25,South
C1010,Customer 11,SMB,2024-05-23,East
C1011,Customer 12,Individual,2024-05-13,East
C1012,Customer 13,Individual,2023-03-23,East
C1013,Customer 14,Individual,2024-05-18,South
C1014,Customer 15,SMB,2024-12-16,West
C1015,Customer 16,SMB,2023-10-01,North
C1016,Customer 17,Individual,2024-06-26,South
C1017,Customer 18,Enterprise,2023-01-28,North
C1018,Customer 19,Individual,2023-11-09,South
C1019,Customer 20,Individual,2024-01-29,West
C1020,Customer 21,Individual,2025-06-03,South
C1021,Customer 22,SMB,2023-07-13,West
C1022,Customer 23,Individual,2023-09-06,South
C1023,Customer 24,Individual,2024-01-03,East
C1024,Customer 25,Individual,2025-06-12,South
C1025,Customer 26,Enterprise,2025-02-07,South
C1026,Customer 27,SMB,2023-02-01,West
C1027,Customer 28,Enterprise,2023-07-30,West
C1028,Customer 29,Enterprise,2025-01-09,South
C1029,Customer 30,Individual,2023-02-22,West
C1030,Customer 31,Individual,2025-02-09,South
C1031,Customer 32,Individual,2023-09-11,East
C1032,Customer 33,SMB,2025-04-05,West
C1033,Customer 34,SMB,2023-09-22,South
C1034,Customer 35,SMB,2024-01-26,East
C1035,Customer 36,Enterprise,2024-08-18,South
C1036,Customer 37,Enterprise,2023-04-24,North
C1037,Customer 38,SMB,2024-05-16,North
C1038,Customer 39,SMB,2024-03-30,South
C1039,Customer 40,Individual,2024-12-06,West
C1040,Customer 41,SMB,2025-06-15,North
C1041,Customer 42,Individual,2024-08-20,South
C1042,Customer 43,Individual,2024-01-04,East
C1043,Customer 44,SMB,2024-01-01,North
C1044,Customer 45,Individual,2024-01-12,East
C1045,Customer 46,Individual,2025-01-02,South
C1046,Customer 47,SMB,2023-10-17,West
C1047,Customer 48,SMB,2023-05-31,East
C1048,Customer 49,Individual,2023-10-28,East
C1049,Customer 50,Enterprise,2023-01-21,North
C1050,Customer 51,Enterprise,2023-04-06,South
C1051,Customer 52,Enterprise,2023-03-23,West
C1052,Customer 53,Individual,2024-11-25,North
C1053,Customer 54,Individual,2024-10-12,West
C1054,Customer 55,Individual,2024-09-19,South
C1055,Customer 56,Individual,2024-02-20,East
C1056,Customer 57,SMB,2024-10-07,East
C1057,Customer 58,Individual,2023-05-26,South
C1058,Customer 59,Enterprise,2025-03-21,South
C1059,Customer 60,Enterprise,2024-03-26,East
