order_id,order_date,region,customer_id,product_id,quantity,unit_price,revenue
O00049,2024-02-06,North,C1049,P110,3,89.53,268.59
O00203,2024-08-03,North,C1017,P101,3,38.81,116.43
O01564,2024-05-15,West,C1032,P102,1,27.23,27.23
O00778,2024-11-19,South,C1007,P111,1,24.39,24.39
O00914,2025-06-13,South,C1016,P103,5,172.92,864.6
O00832,2025-02-09,South,C1022,P103,1,170.56,170.56
O00048,2024-02-10,North,C1006,P111,2,18.18,36.36
O01618,2024-09-10,West,C1053,P109,1,440.63,440.63
O00103,2024-04-24,North,C1006,P110,2,79.52,159.04
O00286,2024-12-14,North,C1001,P101,1,37.85,37.85
O01447,2025-10-24,East,C1031,P101,4,38.21,152.84
O01799,2025-09-28,West,C1051,P106,2,69.34,138.68
O01113,2024-05-26,East,C1042,P110,1,77.9,77.9
O01052,2024-02-21,East,C1012,P105,3,37.01,111.03
O00268,2024-12-18,North,C1008,P109,4,385.12,1540.48
O00632,2024-02-13,South,C1033,P104,4,19.99,79.96
O01006,2025-12-24,South,C1028,P111,3,17.35,52.05
O00985,2025-11-21,South,C1045,P106,3,94.29,282.87
O00305,2025-01-26,North,C1052,P101,4,38.18,152.72
O01424,2025-09-07,East,C1023,P110,3,110.45,331.35
O01474,2025-11-03,East,C1023,P101,5,31.32,156.6
O01462,2025-11-05,East,C1010,P105,1,30.92,30.92
O00302,2025-01-19,North,C1049,P100,4,13.96,55.84
O00894,2025-05-28,South,C1054,P105,2,32.29,64.58
O01315,2025-03-17,East,C1048,P109,3,313.95,941.85
O00758,2024-09-11,South,C1016,P111,5,16.9,84.5
O00088,2024-04-23,North,C1001,P108,2,214.02,428.04
O00675,2024-04-23,South,C1007,P106,4,74.1,296.4
O00882,2025-04-03,South,C1057,P111,1,25.87,25.87
O00562,2025-11-20,North,C1006,P103,4,184.88,739.52
O00416,2025-05-07,North,C1049,P103,5,143.61,718.05
O01314,2025-03-28,East,C1012,P110,3,107.96,323.88
O00613,2024-01-04,South,C1018,P104,4,22.88,91.52
O01297,2025-03-18,East,C1047,P108,2,193.32,386.64
O00283,2024-12-06,North,C1017,P105,1,33.18,33.18
O00680,2024-04-13,South,C1030,P100,5,12.19,60.95
O01436,2025-09-07,East,C1044,P107,3,42.29,126.87
O00791,2024-12-12,South,C1030,P107,1,40.34,40.34
O01109,2024-05-11,East,C1044,P109,1,408.08,408.08
O00980,2025-10-07,South,C1022,P105,5,29.09,145.45
O00599,2025-12-07,North,C1017,P109,5,404.88,2024.4
O00608,2025-12-13,North,C1006,P107,1,43.16,43.16
O00712,2024-06-28,South,C1058,P102,2,25.45,50.9
O00326,2025-02-07,North,C1008,P100,2,17.45,34.9
O00942,2025-08-09,South,C1045,P108,4,208.15,832.6
O00342,2025-02-13,North,C1040,P107,5,46.4,232.0
O00435,2025-05-12,North,C1040,P108,5,202.71,1013.55
O01600,2024-07-26,West,C1019,P111,3,20.72,62.16
O00463,2025-06-14,North,C1006,P104,3,17.3,51.9
O00641,2024-02-23,South,C1035,P101,4,41.93,167.72
O00925,2025-06-18,South,C1028,P103,4,207.99,831.96
O01404,2025-07-04,East,C1048,P101,5,47.34,236.7
O01688,2025-02-02,West,C1053,P105,3,34.9,104.7
O01532,2024-03-17,West,C1021,P101,3,34.21,102.63
O00895,2025-05-18,South,C1025,P108,3,179.43,538.29
O01172,2024-08-17,East,C1047,P103,3,137.7,413.1
O01118,2024-05-16,East,C1047,P104,4,19.0,76.0
O01126,2024-05-21,East,C1056,P110,2,110.37,220.74
O01557,2024-04-20,West,C1053,P100,1,15.24,15.24
O01526,2024-02-12,West,C1046,P107,3,49.92,149.76
O00376,2025-03-18,North,C1049,P103,5,148.61,743.05
O00513,2025-08-24,North,C1040,P101,3,37.83,113.49
O01512,2024-02-13,West,C1029,P100,89,17.82,1585.98
O00349,2025-03-25,North,C1017,P102,1,28.82,28.82
O00734,2024-08-02,South,C1007,P106,5,65.41,327.05
O01509,2024-01-28,West,C1021,P103,3,202.8,608.4
O01058,2024-02-17,East,C1003,P102,4,25.11,100.44
O00529,2025-09-28,North,C1006,P101,1,32.45,32.45
O00259,2024-11-25,North,C1049,P101,3,35.69,107.07
O00187,2024-08-11,North,C1006,P106,1,65.42,65.42
O00826,2025-02-04,South,C1035,P103,3,163.92,491.76
O00597,2025-12-26,North,C1040,P104,4,15.5,62.0
O00963,2025-09-04,South,C1041,P110,3,80.5,241.5
O00162,2024-06-28,North,C1006,P101,2,44.56,89.12
O01234,2024-12-22,East,C1056,P111,4,22.83,91.32
O01523,2024-02-14,West,C1051,P105,2,37.53,75.06
O00269,2024-12-08,North,C1037,P104,1,16.81,16.81
O00673,2024-04-22,South,C1005,P101,1,44.26,44.26
O01659,2024-12-17,West,C1046,P105,1,35.13,35.13
O00853,2025-03-24,South,C1057,P104,4,21.96,87.84
O01637,2024-11-02,West,C1032,P109,3,295.25,885.75
O00182,2024-07-11,North,C1043,P102,4,27.64,110.56
O00593,2025-12-09,North,C1049,P102,5,20.33,101.65
O01005,2025-12-03,South,C1024,P111,4,23.73,94.92
O01601,2024-07-06,West,C1000,P109,4,340.33,1361.32
O01115,2024-05-09,East,C1056,P101,2,44.02,88.04
O00112,2024-04-04,North,C1040,P107,2,43.31,86.62
O00109,2024-04-21,North,C1052,P108,1,262.1,262.1
O01745,2025-05-19,West,C1019,P105,4,38.22,152.88
O00367,2025-03-03,North,C1015,P105,5,25.22,126.1
O00932,2025-07-14,South,C1025,P111,1,18.29,18.29
O00303,2025-01-11,,C1036,P104,4,21.9,87.6
O01326,2025-04-17,East,C1056,P102,2,26.56,53.12
O00322,2025-02-28,North,C1006,P110,5,109.78,548.9
O01819,2025-11-05,West,C1026,P108,1,262.29,262.29
O01232,2024-12-13,East,C1012,P105,4,30.82,123.28
O00573,2025-11-13,North,C1036,P105,4,36.28,145.12
O00637,2024-02-18,South,C1041,P101,2,31.18,62.36
O00121,2024-05-07,North,C1040,P111,5,22.45,112.25
O00454,2025-06-13,North,C1001,P105,5,26.16,130.8
O00814,2025-01-18,South,C1050,P109,5,407.96,2039.8
